Date_T0,Code,Name,Price_T0,Date_T1,Price_T1,Return_Pct,AI_Reason
2026-03-07,600410,华胜天成,29.73,2026-03-08,29.73,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] 今日涨幅4.87%领跑备选池，属于典型的强势动能股。AI软件板块近期活跃，该股形态上呈现放量突破态势，次日早盘惯性高开概率极大，适合作为套利首选。
2026-03-07,547,航天发展,32.66,2026-03-08,32.66,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] 涨幅3.32%显示资金流入迹象明显。军工信息化背景具备避险属性，在宏观环境不确定时易受短线资金青睐，K线形态稳健，具备隔夜套利的安全边际。
2026-03-07,2384,东山精密,95.45,2026-03-08,95.45,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] 作为消费电子与PCB龙头，2.97%的涨幅属于温和放量。受益于降息后的成长股估值修复预期，筹码结构相对稳固，适合博弈次日早盘的板块联动溢价。
2026-03-07,2195,岩山科技,10.76,2026-03-08,10.76,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] 低价股代表，今日小幅收涨0.66%，处于底部震荡区间。在市场情绪回暖时，低价AI概念股易出现补涨脉冲，下行风险极小，是极佳的防守型套利品种。
2026-03-07,300502,新易盛,402.0,2026-03-08,402.0,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] CPO核心权重，虽然涨幅仅0.19%，但高价股的横盘往往是蓄势表现。作为行业风向标，只要板块不崩，其流动性足以支撑平稳兑现，适合大资金避险。
2026-03-08,300502,新易盛,402.0,2026-03-08,402.0,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] CPO核心权重，机构与游资共振标的。今日微涨蓄势，作为AI硬件端领头羊，隔夜溢价预期极高。
2026-03-08,600410,华胜天成,29.73,2026-03-08,29.73,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] AI计算力人气标的，今日涨幅近5%显示有活跃资金介入，形态上属于突破后的回踩确认，具备隔夜套利动能。
2026-03-08,2384,东山精密,95.45,2026-03-08,95.45,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] 消费电子核心供应商，近期筹码交换充分。在降息利好成长股背景下，该股作为果链龙头易获资金回补。
2026-03-08,547,航天发展,32.66,2026-03-08,32.66,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] 军工信息化代表，今日放量上涨3.32%，处于低位反弹初期，安全性极高，适合作为防守型套利品种。
2026-03-08,2195,岩山科技,10.76,2026-03-08,10.76,0.0,[🆘 盲抓防守底仓 (API故障/无及格)] 低价AI+互联网标的，股性活跃。今日小幅收涨，筹码结构稳定，易受短线游资突袭拉升赚取溢价。
2026-03-08,600410,华胜天成,29.73,2026-03-08,29.73,0.0,[🆘 盲抓防守底仓 (API大故障)] AI计算力人气标的，今日涨幅领先且站稳均线，尾盘有资金抢筹迹象，次日早盘具备高开冲高动能。
2026-03-08,600875,东方电气,44.22,2026-03-08,44.22,0.0,[🆘 盲抓防守底仓 (API大故障)] 能源装备核心，受降息利好及电力设备更新预期驱动，K线形态呈现多头排列，溢价概率高。
2026-03-08,547,航天发展,32.66,2026-03-08,32.66,0.0,[🆘 盲抓防守底仓 (API大故障)] 军工信息化代表，低位放量反弹，3.32%的涨幅显示筹码开始松动上行，适合隔夜套利博取补涨。
2026-03-08,2384,东山精密,95.45,2026-03-08,95.45,0.0,[🆘 盲抓防守底仓 (API大故障)] 消费电子核心供应商，股价处于高位震荡后的突破边缘，机构与游资共振明显，次日惯性上攻可期。
2026-03-08,2195,岩山科技,10.76,2026-03-08,10.76,0.0,[🆘 盲抓防守底仓 (API大故障)] 低价AI+互联网标的，涨幅虽小但回撤风险极低，属于典型的安全垫套利品种，博取早盘1%左右的脉冲。
2026-03-08,300468,四方精创,37.06,2026-03-08,37.06,0.0,[🩸 日线优良+红盘防守] 金融科技高弹性标的，涨幅在备选池中领先，K线形态呈现突破态势，降息利好成长股估值修复，隔夜溢价高。
2026-03-08,600309,万华化学,93.0,2026-03-08,93.0,0.0,[🩸 日线优良+红盘防守] 化工行业核心资产，得分70。受降息带来的原材料成本及融资利好，机构资金回流明显，日线级别稳健，适合大资金套利。
2026-03-08,601669,中国电建,5.96,2026-03-08,5.96,0.0,[🩸 日线优良+红盘防守] 得分70。低价股具备群众基础，基建+绿能逻辑符合宏观避险需求，尾盘红盘防守坚决，次日早盘惯性冲高概率大。
2026-03-08,600989,宝丰能源,28.63,2026-03-08,28.63,0.0,[🩸 日线优良+红盘防守] 当日涨幅5.3%为池内最强，能量释放充分。紧贴宏观能源逻辑，属于典型的强势股隔夜套利形态，博取流动性溢价。
